계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트/융선-스마트자동차융합,,2150164005,고급AI수학,,, (공통-재수강),박중석,AI소프트웨어학부,3.0/3.0,0,50,"화 09:00-10:15 (정보과학관 21301-박중석)
화 10:30-11:45 (정보과학관 21301-박중석)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150164108,고급프로그래밍,,, (공통-재수강),권재환,AI소프트웨어학부,4.0/3.0,0,30,"화 15:00-15:50 (정보과학관 21305 (이철희실습실)-권재환)
화 16:00-16:50 (정보과학관 21305 (이철희실습실)-권재환)
목 15:00-15:50 (정보과학관 21305 (이철희실습실)-권재환)
목 16:00-16:50 (정보과학관 21305 (이철희실습실)-권재환)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162205,기초AI수학,,, (공통-재수강),박중석,AI소프트웨어학부,3.0/3.0,0,50,"화 13:30-14:45 (벤처중소기업센터 10311-박중석)
화 15:00-16:15 (벤처중소기업센터 10311-박중석)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전필-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150163704,머신러닝,,, (공통-재수강),최형광,AI소프트웨어학부,3.0/3.0,0,50,수 금 15:00-16:15 (정보과학관 21301-최형광),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162304,이산수학,,, (공통-재수강),이재일,AI소프트웨어학부,3.0/3.0,0,40,화 목 10:30-11:45 (정보과학관 21303-이재일),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전필-AI소프트웨어,복선-AI소프트/부선-AI소프트/융선-AI모빌리티융합/융선-빅데이터융합/융선-정보보호융합,,2150163206,자료구조,,, (공통-재수강),권재환,AI소프트웨어학부,3.0/3.0,0,50,화 금 13:30-14:45 (정보과학관 21304-권재환),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트/융선-스마트자동차융합/융선-정보보호융합,,2150163806,컴퓨터구조,,, (공통-재수강),하석재,AI소프트웨어학부,3.0/3.0,0,50,월 수 18:00-19:15 (정보과학관 21202 (이준호강의실)-하석재),"전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161407,프로그래밍기초1,,, (공통-재수강),김익수,AI소프트웨어학부,4.0/3.0,0,30,"월 13:00-13:50 (정보과학관 21305 (이철희실습실)-김익수)
월 14:00-14:50 (정보과학관 21305 (이철희실습실)-김익수)
목 13:00-13:50 (정보과학관 21305 (이철희실습실)-김익수)
목 14:00-14:50 (정보과학관 21305 (이철희실습실)-김익수)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트/융선-AI모빌리티융합/융선-빅데이터융합/융선-스마트자동차융합,,2150163104,확률및통계,공통,, (공통-재수강),양혜지,AI소프트웨어학부,3.0/3.0,0,50,"화 12:00-13:15 (정보과학관 21304-양혜지)
수 10:30-11:45 (정보과학관 21303-양혜지)","전체학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162201,기초AI수학,가,,,한상호,AI소프트웨어학부,3.0/3.0,0,48,"목 09:00-10:15 (문화관 03408(AI융합학부 HW실습실)-한상호)
금 10:30-11:45 (문화관 03408(AI융합학부 HW실습실)-한상호)","1학년  AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162202,기초AI수학,나,,,한상호,AI소프트웨어학부,3.0/3.0,0,48,"목 10:30-11:45 (문화관 03408(AI융합학부 HW실습실)-한상호)
금 09:00-10:15 (문화관 03408(AI융합학부 HW실습실)-한상호)","1학년  AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162203,기초AI수학,다,,,김형돈,AI소프트웨어학부,3.0/3.0,0,50,"금 09:00-10:15 (미래관 20203-김형돈)
금 10:30-11:45 (미래관 20203-김형돈)","1학년  AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전선-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162204,기초AI수학,라,,,김형돈,AI소프트웨어학부,3.0/3.0,0,50,"금 13:30-14:45 (미래관 20305-김형돈)
금 15:00-16:15 (미래관 20305-김형돈)","1학년  AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162301,이산수학,가,,,하진철,AI소프트웨어학부,3.0/3.0,0,55,화 목 09:00-10:15 (정보과학관 21304-하진철),"1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162302,이산수학,나,,,하진철,AI소프트웨어학부,3.0/3.0,0,55,화 목 10:30-11:45 (정보과학관 21304-하진철),"1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150162303,이산수학,다,,,이재일,AI소프트웨어학부,3.0/3.0,0,50,화 목 12:00-13:15 (정보과학관 21303-이재일),"1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161401,프로그래밍기초1,가,EL+,,김성신,AI소프트웨어학부,4.0/3.0,0,30,"월 09:00-09:50 (정보과학관 21306-김성신)
월 10:00-10:50 (정보과학관 21306-김성신)
수 15:00-15:50 (정보과학관 21306-김성신)
수 16:00-16:50 (정보과학관 21306-김성신)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161402,프로그래밍기초1,나,EL+,,김성신,AI소프트웨어학부,4.0/3.0,0,30,"월 11:00-11:50 (정보과학관 21306-김성신)
월 12:00-12:50 (정보과학관 21306-김성신)
수 17:00-17:50 (정보과학관 21306-김성신)
수 18:00-18:50 (정보과학관 21306-김성신)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161403,프로그래밍기초1,다,,,김명호,AI소프트웨어학부,4.0/3.0,0,30,"월 13:00-13:50 (정보과학관 21301-김명호)
월 14:00-14:50 (-김명호)
화 13:00-13:50 (정보과학관 21305 (이철희실습실)-김명호)
화 14:00-14:50 (정보과학관 21305 (이철희실습실)-김명호)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161404,프로그래밍기초1,라,,,최중섭,AI소프트웨어학부,4.0/3.0,0,30,"월 13:00-13:50 (정보과학관 21306-최중섭)
월 14:00-14:50 (정보과학관 21306-최중섭)
화 13:00-13:50 (정보과학관 21306-최중섭)
화 14:00-14:50 (정보과학관 21306-최중섭)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161405,프로그래밍기초1,마,,,최중섭,AI소프트웨어학부,4.0/3.0,0,30,"월 15:00-15:50 (정보과학관 21306-최중섭)
월 16:00-16:50 (정보과학관 21306-최중섭)
화 15:00-15:50 (정보과학관 21306-최중섭)
화 16:00-16:50 (정보과학관 21306-최중섭)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
,전기-AI소프트웨어,복선-AI소프트/부선-AI소프트,,2150161406,프로그래밍기초1,바,,,김익수,AI소프트웨어학부,4.0/3.0,0,30,"월 09:00-09:50 (정보과학관 21305 (이철희실습실)-김익수)
월 10:00-10:50 (정보과학관 21305 (이철희실습실)-김익수)
목 09:00-09:50 (정보과학관 21305 (이철희실습실)-김익수)
목 10:00-10:50 (정보과학관 21305 (이철희실습실)-김익수)","1학년 AI소프트웨어학부, 소프트웨어학부, AI융합학부 (대상외수강제한)(대상외수강제한)"
