계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전기-신소재,,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-신소재,,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-신소재,,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전기-신소재,,,5006763001,화학1및실험,,,,장상목,화학과,4.0/3.0,0,25,"화 15:00-15:50 (숭덕경상관 02318-장상목)
화 16:00-16:50 (숭덕경상관 02318-장상목)
목 14:00-14:50 (베어드홀 01213 (일반화학실험실)-장상목)
목 15:00-15:50 (베어드홀 01213 (일반화학실험실)-장상목)","전체학년 물리 ,산업정보 ,신소재 ,의생명시스템 ,전기 ,화공 ,화학"
,전기-신소재,복선-신소재/부선-신소재,,2150386701,기초공학수학1,가,,,최현석,신소재공학과,3.0/3.0,0,50,"월 09:00-10:15 (숭덕경상관 02107-최현석)
화 12:00-13:15 (숭덕경상관 02101-최현석)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,2150386702,기초공학수학1,나,,,고선양,신소재공학과,3.0/3.0,0,50,"월 09:00-10:15 (숭덕경상관 02108-고선양)
화 12:00-13:15 (숭덕경상관 02207-고선양)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,5011412601,물리1및실험,가,,,"이동재
최현희",신소재공학과,4.0/3.0,0,20,"수 11:30-12:20 (전산관 19327-최현희)
수 12:30-13:20 (전산관 19327-최현희)
목 11:00-11:50 (조만식기념관 12123-이동재)
목 12:00-12:50 (조만식기념관 12123-이동재)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,5011412602,물리1및실험,나,,,"김희상
최현희",신소재공학과,4.0/3.0,0,20,"수 11:30-12:20 (전산관 19327-최현희)
수 12:30-13:20 (전산관 19327-최현희)
목 11:00-11:50 (조만식기념관 12124-김희상)
목 12:00-12:50 (조만식기념관 12124-김희상)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,5011412603,물리1및실험,다,,,"홍영우
이동재",신소재공학과,4.0/3.0,0,20,"수 11:30-12:20 (조만식기념관 12214-이동재)
수 12:30-13:20 (조만식기념관 12214-이동재)
목 11:00-11:50 (미래관 20303-홍영우)
목 12:00-12:50 (미래관 20303-홍영우)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,5011412604,물리1및실험,라,,,"김수경
홍영우",신소재공학과,4.0/3.0,0,20,"수 11:30-12:20 (조만식기념관 12215 (물리실험실)-김수경)
수 12:30-13:20 (조만식기념관 12215 (물리실험실)-김수경)
목 11:00-11:50 (미래관 20303-홍영우)
목 12:00-12:50 (미래관 20303-홍영우)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전선-신소재,복선-신소재/부선-신소재,,2150554101,창의설계,가,EL+,,조승현,신소재공학과,3.0/3.0,0,40,"월 13:30-14:45 (형남공학관 05B109 (창의공학설계실 황도현강의실)-조승현)
수 15:00-16:15 (형남공학관 05B109 (창의공학설계실 황도현강의실)-조승현)",1학년 신소재
,전선-신소재,복선-신소재/부선-신소재,,2150554102,창의설계,나,EL+,,조승현,신소재공학과,3.0/3.0,0,40,"월 15:00-16:15 (형남공학관 05B109 (창의공학설계실 황도현강의실)-조승현)
수 13:30-14:45 (형남공학관 05B109 (창의공학설계실 황도현강의실)-조승현)",1학년 신소재
,전기-신소재,복선-신소재/부선-신소재,,2150577101,화학1및실험,가,,,박연실,신소재공학과,4.0/3.0,0,20,"금 09:00-09:50 (미래관 20303-박연실)
금 10:00-10:50 (미래관 20303-박연실)
금 11:00-11:50 (베어드홀 01213 (일반화학실험실)-박연실)
금 12:00-12:50 (베어드홀 01213 (일반화학실험실)-박연실)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,2150577102,화학1및실험,나,,,"남궁미옥
박연실",신소재공학과,4.0/3.0,0,20,"금 09:00-09:50 (미래관 20303-박연실)
금 10:00-10:50 (미래관 20303-박연실)
금 11:00-11:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)
금 12:00-12:50 (베어드홀 01214 (일반화학실험실)-남궁미옥)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,2150577103,화학1및실험,다,,,장병하,신소재공학과,4.0/3.0,0,20,"금 09:00-09:50 (베어드홀 01213 (일반화학실험실)-장병하)
금 10:00-10:50 (베어드홀 01213 (일반화학실험실)-장병하)
금 11:00-11:50 (미래관 20303-장병하)
금 12:00-12:50 (미래관 20303-장병하)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전기-신소재,복선-신소재/부선-신소재,,2150577104,화학1및실험,라,,,"장병하
주상우",신소재공학과,4.0/3.0,0,20,"금 09:00-09:50 (베어드홀 01214 (일반화학실험실)-주상우)
금 10:00-10:50 (베어드홀 01214 (일반화학실험실)-주상우)
금 11:00-11:50 (미래관 20303-장병하)
금 12:00-12:50 (미래관 20303-장병하)",1학년 신소재 (대상외수강제한)(대상외수강제한)
,전필-신소재,복선-신소재/부선-신소재,,2150916201,고급공학수학1,가,,,최지호,신소재공학과,3.0/3.0,0,50,"월 12:00-13:15 (미래관 20303-최지호)
수 15:00-16:15 (미래관 20303-최지호)",2학년 신소재
,전필-신소재,복선-신소재/부선-신소재,,2150916202,고급공학수학1,나,,,홍철재,신소재공학과,3.0/3.0,0,50,"월 12:00-13:15 (진리관 11410-홍철재)
수 15:00-16:15 (조만식기념관 12326 (조해자강의실)-홍철재)",2학년 신소재
,전기-신소재,,,5006762501,기초공학수학1,,, (공통-재수강),이상욱,수학과,3.0/3.0,0,40,"화 13:30-14:45 (백마관 07218-이상욱)
금 13:30-14:45 (진리관 11516-이상욱)","2학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
3학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전자정보공학부-IT융합, 전자정보공학부-전자공학, 컴퓨터
4학년 신소재, 전기, 기계, 화공, 산업정보 ,건축학부, 건축공학, AI융합, 전"
