계획,이수구분(주전공),이수구분(다전공),공학인증,과목번호,과목명,수강유의사항,강좌유형정보,분반,교수명,개설학과,시간/학점(설계),수강인원,여석,강의시간(강의실),수강대상
,전선-컴퓨터,복선-컴퓨터,,5006762801,(공통)물리1및실험,,,,"이순녀
최현희",물리학과,4.0/3.0,0,25,"월 13:00-13:50 (조만식기념관 12214-이순녀)
월 14:00-14:50 (조만식기념관 12214-이순녀)
월 15:00-15:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)
월 16:00-16:50 (조만식기념관 12530 (경제학과겸임교수강의실)-최현희)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전선-컴퓨터,복선-컴퓨터,,5006762802,(공통)물리1및실험,,,,김남미,물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12123-김남미)
수 14:00-14:50 (조만식기념관 12123-김남미)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전선-컴퓨터,복선-컴퓨터,,5006762803,(공통)물리1및실험,,,,"김남미
이순녀",물리학과,4.0/3.0,0,25,"수 13:00-13:50 (조만식기념관 12124-이순녀)
수 14:00-14:50 (조만식기념관 12124-이순녀)
수 15:00-15:50 (백마관 07117-김남미)
수 16:00-16:50 (백마관 07117-김남미)","전체학년 기계,화공,전기,건축학부,신소재,정통전,전자정보공학부-IT융합,전자정보공학부-전자공학,AI융합,물리,화학,의생명,소프트,컴퓨터"
,전선-컴퓨터,복선-컴퓨터,,2150175404,C++프로그래밍및실습,,, (공통-재수강),유상현,컴퓨터학부,4.0/3.0,0,50,"월 13:00-13:50 (정보과학관 21101 (실습실)-유상현)
월 14:00-14:50 (정보과학관 21101 (실습실)-유상현)
금 13:00-13:50 (정보과학관 21101 (실습실)-유상현)
금 14:00-14:50 (정보과학관 21101 (실습실)-유상현)",전체학년 컴퓨터
,전선-컴퓨터,복선-컴퓨터,,2150156801,Co-op클라우드트랙,,,,최종석,SW교육팀,6.0/6.0,0,0,"화 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
화 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)
목 15:00-16:15 (전산관 19328 (첨단PC실습실)-최종석)
목 16:30-17:45 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전선-컴퓨터,복선-컴퓨터,,2150059401,[심화]Co-op SAP 트랙,,,,"홍지만
최종석",SW교육팀,6.0/6.0,0,0,"월 화 18:00-19:15 (전산관 19328 (첨단PC실습실)-홍지만)
수 목 18:00-19:15 (전산관 19328 (첨단PC실습실)-최종석)",전체
,전선-컴퓨터,복선-컴퓨터,,2150534105,객체지향프로그래밍,,, (공통-재수강),최지웅,컴퓨터학부,3.0/3.0,0,50,화 금 16:30-17:45 (정보과학관 21204 (김선행강의실)-최지웅),전체학년 컴퓨터(2학년 제외)
,전선-컴퓨터,복선-컴퓨터/융선-빅데이터컴퓨팅융합,,2150322705,논리설계,,, (공통-재수강),신정환,컴퓨터학부,3.0/3.0,0,50,화 수 12:00-13:15 (벤처중소기업센터 10311-신정환),전체학년 컴퓨터학부
,전선-컴퓨터,복선-컴퓨터/융선-AI로봇융합/융선-ICT유통물류융합/융선-인공지능반도체융합,,2150663305,선형대수,,, (공통-재수강),이광연,컴퓨터학부,3.0/3.0,0,50,수 금 16:30-17:45 (미래관 20402-이광연),전체학년 컴퓨터
,전선-컴퓨터,복선-컴퓨터/융선-AI로봇융합/융선-ICT유통물류융합/융선-인공지능반도체융합,,2150663306,선형대수,미개설,,,,컴퓨터학부,3.0/3.0,0,0,,전체
,전필-컴퓨터,복선-컴퓨터/융선-ICT유통물류융합/융선-빅데이터컴퓨팅융합,,2150189906,자료구조,,, (공통-재수강),최중규,컴퓨터학부,3.0/3.0,0,50,"수 13:30-14:45 (정보과학관 21203 (김재상강의실)-최중규)
목 15:00-16:15 (정보과학관 21202 (이준호강의실)-최중규)",전체학년 컴퓨터
,전기-컴퓨터,복선-컴퓨터,,2150386603,컴퓨터수학1,,, (공통-재수강),이제영,컴퓨터학부,3.0/3.0,0,50,월 수 15:00-16:15 (정보과학관 21204 (김선행강의실)-이제영),전체학년 컴퓨터
,전기-컴퓨터,복선-컴퓨터,,2150386604,컴퓨터수학1,미개설,, (공통-재수강),,컴퓨터학부,3.0/3.0,0,0,,전체
,전선-컴퓨터,복선-컴퓨터,,2150016203,컴퓨터학개론,,, (공통-재수강),유상현,컴퓨터학부,3.0/3.0,0,50,월 금 10:30-11:45 (정보과학관 21301-유상현),전체학년 컴퓨터
,전기-컴퓨터,복선-컴퓨터,,5010231603,프로그래밍1및실습,,, (공통-재수강),김익수,컴퓨터학부,4.0/3.0,0,50,"월 18:00-18:50 (정보과학관 21101 (실습실)-김익수)
월 19:00-19:50 (정보과학관 21101 (실습실)-김익수)
수 18:00-18:50 (정보과학관 21101 (실습실)-김익수)
수 19:00-19:50 (정보과학관 21101 (실습실)-김익수)",전체학년 컴퓨터
